slug;name_en;name_ru
abdominals-stretch-variation-four;Abdominals Stretch Variation Four;Растяжка мышц пресса, вариант 4
abdominals-stretch-variation-one;Abdominals Stretch Variation One;Растяжка мышц пресса, вариант 1
abdominals-stretch-variation-three;Abdominals Stretch Variation Three;Растяжка мышц пресса, вариант 3
abdominals-stretch-variation-two;Abdominals Stretch Variation Two;Растяжка мышц пресса, вариант 2
abductor-leg-raise-side-lying;Abductor Leg Raise Side Lying;Подъём ноги лёжа на боку для отводящих мышц бедра
abductor-leg-raise-side-lying-isometric;Abductor Leg Raise Side Lying Isometric;Изометрический подъём ноги лёжа на боку для отводящих мышц бедра
adductor-leg-raise-side-lying;Adductor Leg Raise Side Lying;Подъём ноги лёжа на боку для приводящих мышц бедра
adductor-leg-raise-side-lying-isometric;Adductor Leg Raise Side Lying Isometric;Изометрический подъём ноги лёжа на боку для приводящих мышц бедра
adductor-raise-side-lying-long-lever;Adductor Raise Side Lying Long Lever;Подъём ноги лёжа на боку для приводящих мышц бедра с длинным рычагом
adductor-raise-side-lying-short-lever;Adductor Raise Side Lying Short Lever;Подъём ноги лёжа на боку для приводящих мышц бедра с коротким рычагом
adductor-stretch-dynamic-standing-alternate;Adductor Stretch Dynamic Standing Alternate;Динамическая поочерёдная растяжка приводящих мышц бедра стоя
adductor-stretch-dynamic-unilateral-4-point-position;Adductor Stretch Dynamic Unilateral 4 Point Position;Динамическая односторонняя растяжка приводящих мышц бедра в упоре на четвереньках
adductor-stretch-seated-bilateral-dynamic;Adductor Stretch Seated Bilateral Dynamic;Динамическая двусторонняя растяжка приводящих мышц бедра сидя
adductor-stretch-seated-bilateral-static;Adductor Stretch Seated Bilateral Static;Статическая двусторонняя растяжка приводящих мышц бедра сидя
alphabet;Alphabet;Алфавит стопой
alternating-bent-leg-raise;Alternating Bent Leg Raise;Поочерёдный подъём согнутых ног
alternating-heel-touch;Alternating Heel Touch;Поочерёдные касания пяток
alternating-pole-rotation;Alternating Pole Rotation;Поочерёдные вращения с палкой
alternating-swipe-around;Alternating Swipe Around;Поочерёдный круговой мах рукой
ankle-circle;Ankle Circle;Круговые вращения стопой
assisted-bulgarian-split-squat;Assisted Bulgarian Split Squat;Болгарский сплит-присед с поддержкой
backward-arm-circle;Backward Arm Circle;Круговые вращения руками назад
band-bayesian-curl;Band Bayesian Curl;Сгибание рук по Байесу с резиновой лентой
band-bayesian-hammer-curl;Band Bayesian Hammer Curl;Молотковое сгибание рук по Байесу с резиновой лентой
band-bayesian-reverse-curl;Band Bayesian Reverse Curl;Обратное сгибание рук по Байесу с резиновой лентой
band-bench-fly;Band Bench Fly;Разведение рук на скамье с резиновой лентой
band-bench-press;Band Bench Press;Жим лёжа с резиновой лентой
band-bent-over-row;Band Bent Over Row;Тяга в наклоне с резиновой лентой
band-calf-raise;Band Calf Raise;Подъём на носки с резиновой лентой
band-chest-fly;Band Chest Fly;Разведение рук на грудь с резиновой лентой
band-chest-press;Band Chest Press;Жим от груди с резиновой лентой
band-crunch;Band Crunch;Скручивание с резиновой лентой
band-curl;Band Curl;Сгибание рук с резиновой лентой
band-face-pull;Band Face Pull;Тяга к лицу с резиновой лентой
band-floor-press;Band Floor Press;Жим с пола с резиновой лентой
band-floor-quad-stretch;Band Floor Quad Stretch;На полу квадрицепса растяжка с резиновой лентой
